municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-11 16:40:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-11 17:20:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-11 21:10:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-11 21:20:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-11 23:10:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-12 06:00:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-12 08:00:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-12 08:20:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-15 18:10:00.0,6.80,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-15 18:20:00.0,1.00,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-15 18:30:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-15 20:30:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 03:20:00.0,5.00,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 03:30:00.0,3.00,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 03:40:00.0,3.00,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 03:50:00.0,4.00,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 04:00:00.0,2.60,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 04:10:00.0,1.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 04:20:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 04:50:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 05:00:00.0,0.60,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 05:10:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 05:30:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 05:40:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 06:00:00.0,0.20,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 06:10:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 06:20:00.0,0.80,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 06:30:00.0,0.40,
CUIABÁ,510340301A,MT,Jardim Liberdade,-55.99056,-15.61462,2020-12-21 06:40:00.0,0.40,
